,title,artist,region,date,stream,Rank
30174,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Colombia,2018-03,1688985,5
30175,Me Niego (feat. Ozuna & Wisin),Reik,Colombia,2018-03,1627108,6
30176,Más Fuerte,Greeicy,Colombia,2018-03,1578751,7
30177,La player (Bandolera),Zion & Lennox,Colombia,2018-03,1439501,8
30178,Esperándote,Manuel Turizo,Colombia,2018-03,1402824,9
30179,Dembow,Danny Ocean,Colombia,2018-03,1330270,10
30180,MIA (feat. Drake),Bad Bunny,Colombia,2018-11,2115764,1
30181,Calma - Remix,"Pedro Capó, Farruko",Colombia,2018-11,1998615,2
30182,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Colombia,2018-11,1981685,3
30183,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",Colombia,2018-11,1841232,4
30184,Vaina Loca,"Ozuna, Manuel Turizo",Colombia,2018-11,1604245,5
30185,No Es Justo,"J Balvin, Zion & Lennox",Colombia,2018-11,1416786,6
30186,PPP,Kevin Roldan,Colombia,2018-11,1388886,7
30187,BEBE,"6ix9ine, Anuel AA",Colombia,2018-11,1341208,8
30188,Cuando Te Besé,"Becky G, Paulo Londra",Colombia,2018-11,1284324,9
30189,Culpables,"KAROL G, Anuel AA",Colombia,2018-11,1216820,10
30190,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Colombia,2019-09,2486419,1
30191,Tutu,"Camilo, Pedro Capó",Colombia,2019-09,2192920,2
30192,LA CANCIÓN,"J Balvin, Bad Bunny",Colombia,2019-09,2146292,3
30193,Callaita,"Bad Bunny, Tainy",Colombia,2019-09,2019182,4
30194,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Colombia,2019-09,1924468,5
30195,QUE PRETENDES,"J Balvin, Bad Bunny",Colombia,2019-09,1770207,6
30196,Adicto (with Anuel AA & Ozuna),Tainy,Colombia,2019-09,1731909,7
30197,Indeciso,"Reik, J Balvin, Lalo Ebratt",Colombia,2019-09,1503829,8
30198,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",Colombia,2019-09,1494807,9
30199,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,Colombia,2019-09,1392760,10
30200,X,"Nicky Jam, J Balvin",Costa Rica,2018-04,802290,1
30201,Bella,Wolfine,Costa Rica,2018-04,638703,2
30202,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Costa Rica,2018-04,593520,3
30203,Me Niego (feat. Ozuna & Wisin),Reik,Costa Rica,2018-04,592204,4
30204,Síguelo Bailando,Ozuna,Costa Rica,2018-04,557731,5
30205,Dura,Daddy Yankee,Costa Rica,2018-04,539028,6
30206,God's Plan,Drake,Costa Rica,2018-04,446940,7
30207,Quiero Repetir,"Ozuna, J Balvin",Costa Rica,2018-04,411195,8
30208,Amorfoda,Bad Bunny,Costa Rica,2018-04,393373,9
30209,No Hay Nadie Más,Sebastian Yatra,Costa Rica,2018-04,384258,10
30210,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Costa Rica,2018-07,810923,1
30211,Vaina Loca,"Ozuna, Manuel Turizo",Costa Rica,2018-07,635417,2
30212,La player (Bandolera),Zion & Lennox,Costa Rica,2018-07,542637,3
30213,Unica,Ozuna,Costa Rica,2018-07,533047,4
30214,In My Feelings,Drake,Costa Rica,2018-07,517892,5
30215,Sin Pijama,"Becky G, Natti Natasha",Costa Rica,2018-07,462211,6
30216,Me Niego (feat. Ozuna & Wisin),Reik,Costa Rica,2018-07,458804,7
30217,Te Amo,"Piso 21, Paulo Londra",Costa Rica,2018-07,449955,8
30218,I Like It,"Cardi B, Bad Bunny, J Balvin",Costa Rica,2018-07,448320,9
30219,Nena Maldicion (feat. Lenny Tavarez),"Paulo Londra, Lenny Tavárez",Costa Rica,2018-07,411622,10
30220,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Costa Rica,2019-10,878686,1
30221,Si Te Vas,"Sech, Ozuna",Costa Rica,2019-10,812480,2
30222,LA CANCIÓN,"J Balvin, Bad Bunny",Costa Rica,2019-10,723318,3
30223,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Costa Rica,2019-10,694708,4
30224,Callaita,"Bad Bunny, Tainy",Costa Rica,2019-10,663793,5
30225,Tutu,"Camilo, Pedro Capó",Costa Rica,2019-10,633038,6
30226,Adicto (with Anuel AA & Ozuna),Tainy,Costa Rica,2019-10,621597,7
30227,Loco,Beéle,Costa Rica,2019-10,560052,8
30228,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Costa Rica,2019-10,503604,9
30229,Bellaquita,"Dalex, Lenny Tavárez",Costa Rica,2019-10,493073,10
30230,Tusa,"KAROL G, Nicki Minaj",Costa Rica,2020-02,1396510,1
30231,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Costa Rica,2020-02,939372,2
30232,Dance Monkey,Tones And I,Costa Rica,2020-02,918126,3
30233,Fantasias,"Rauw Alejandro, Farruko",Costa Rica,2020-02,793091,4
30234,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Costa Rica,2020-02,753859,5
30235,Vete,Bad Bunny,Costa Rica,2020-02,728400,6
30236,Ignorantes,"Bad Bunny, Sech",Costa Rica,2020-02,577374,7
30237,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Costa Rica,2020-02,575054,8
30238,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Costa Rica,2020-02,535700,9
30239,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Costa Rica,2020-02,534722,10
30240,Yonaguni,Bad Bunny,Costa Rica,2021-08,1080711,1
30241,Pepas,Farruko,Costa Rica,2021-08,858459,2
30242,Todo De Ti,Rauw Alejandro,Costa Rica,2021-08,854697,3
30243,Qué Más Pues?,"J Balvin, Maria Becerra",Costa Rica,2021-08,816966,4
30244,Volví,"Aventura, Bad Bunny",Costa Rica,2021-08,812982,5
30245,Volando - Remix,"Mora, Bad Bunny, Sech",Costa Rica,2021-08,799494,6
30246,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",Costa Rica,2021-08,728343,7
30247,Entre Nosotros,"Tiago PZK, LIT killah",Costa Rica,2021-08,633331,8
30248,Miénteme,"TINI, Maria Becerra",Costa Rica,2021-08,572355,9
30249,911 - Remix,"Sech, Jhay Cortez",Costa Rica,2021-08,565887,10
30250,Blinding Lights,The Weeknd,Czech Republic,2020-05,725802,1
30251,Roses - Imanbek Remix,SAINt JHN,Czech Republic,2020-05,699687,2
30252,GOOBA,6ix9ine,Czech Republic,2020-05,493181,3
30253,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Czech Republic,2020-05,449298,4
30254,Dance Monkey,Tones And I,Czech Republic,2020-05,442297,5
30255,death bed (coffee for your head),"Powfu, beabadoobee",Czech Republic,2020-05,397632,6
30256,Není Limit,Nik Tendo,Czech Republic,2020-05,379785,7
30257,Toosie Slide,Drake,Czech Republic,2020-05,361765,8
30258,Až na měsíc,"Viktor Sheen, Nik Tendo, Calin, Hasan",Czech Republic,2020-05,360631,9
30259,Do pěti,Ektor,Czech Republic,2020-05,348746,10
30260,Blinding Lights,The Weeknd,Czech Republic,2020-06,714822,1
30261,Roses - Imanbek Remix,SAINt JHN,Czech Republic,2020-06,606630,2
30262,ROCKSTAR (feat. Roddy Ricch),DaBaby,Czech Republic,2020-06,489392,3
30263,GOOBA,6ix9ine,Czech Republic,2020-06,481821,4
30264,Breaking Me,"Topic, A7S",Czech Republic,2020-06,421901,5
30265,Dance Monkey,Tones And I,Czech Republic,2020-06,416539,6
30266,Teď tady,Ektor,Czech Republic,2020-06,381689,7
30267,Kings & Queens,Ava Max,Czech Republic,2020-06,354986,8
30268,Česká Floriida,"Robin Zoot, Koky, Yzomandias",Czech Republic,2020-06,354197,9
30269,Watermelon Sugar,Harry Styles,Czech Republic,2020-06,345936,10
30270,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Denmark,2017-07,2883173,1
30271,Rica (feat. Kesi & Sivas),Gilli,Denmark,2017-07,2818149,2
30272,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,Denmark,2017-07,2440830,3
30273,Unforgettable,"French Montana, Swae Lee",Denmark,2017-07,2066370,4
30274,2U (feat. Justin Bieber),David Guetta,Denmark,2017-07,1956905,5
30275,Mama,"Jonas Blue, William Singe",Denmark,2017-07,1895171,6
30276,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,Denmark,2017-07,1820746,7
30277,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Funk Wav",Denmark,2017-07,1710271,8
30278,Limbo,Scarlet Pleasure,Denmark,2017-07,1685218,9
30279,Mamacita (feat. Benny Jamz),KESI,Denmark,2017-07,1666456,10
30280,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Ecuador,2018-07,769406,1
30281,Sin Pijama,"Becky G, Natti Natasha",Ecuador,2018-07,750094,2
30282,No Es Justo,"J Balvin, Zion & Lennox",Ecuador,2018-07,720132,3
30283,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Ecuador,2018-07,602635,4
30284,Vaina Loca,"Ozuna, Manuel Turizo",Ecuador,2018-07,573690,5
30285,La player (Bandolera),Zion & Lennox,Ecuador,2018-07,568190,6
30286,Mi Cama,KAROL G,Ecuador,2018-07,531713,7
30287,Me Niego (feat. Ozuna & Wisin),Reik,Ecuador,2018-07,523899,8
30288,No Me Acuerdo,"Thalia, Natti Natasha",Ecuador,2018-07,440794,9
30289,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,Ecuador,2018-07,438807,10
30290,Tusa,"KAROL G, Nicki Minaj",Ecuador,2019-12,1879088,1
30291,Fantasias,"Rauw Alejandro, Farruko",Ecuador,2019-12,1150281,2
30292,Dance Monkey,Tones And I,Ecuador,2019-12,1032846,3
30293,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Ecuador,2019-12,1013974,4
30294,Vete,Bad Bunny,Ecuador,2019-12,973622,5
30295,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Ecuador,2019-12,873714,6
30296,LA CANCIÓN,"J Balvin, Bad Bunny",Ecuador,2019-12,864290,7
30297,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Ecuador,2019-12,818314,8
30298,Callaita,"Bad Bunny, Tainy",Ecuador,2019-12,768117,9
30299,Detente,"Mike Bahía, Danny Ocean",Ecuador,2019-12,688670,10
30300,DÁKITI,"Bad Bunny, Jhay Cortez",Ecuador,2021-01,1908977,1
30301,BICHOTA,KAROL G,Ecuador,2021-01,1577590,2
30302,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Ecuador,2021-01,1283251,3
30303,Bandido,"Myke Towers, Juhn",Ecuador,2021-01,1177908,4
30304,Hecha Pa' Mi,Boza,Ecuador,2021-01,1148349,5
30305,Reloj,"Rauw Alejandro, Anuel AA",Ecuador,2021-01,995135,6
30306,Chica Ideal,"Sebastian Yatra, Guaynaa",Ecuador,2021-01,980206,7
30307,TE MUDASTE,Bad Bunny,Ecuador,2021-01,927353,8
30308,Hawái,Maluma,Ecuador,2021-01,900067,9
30309,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",Ecuador,2021-01,841065,10
30310,Con Calma,"Daddy Yankee, Snow",El Salvador,2019-03,428000,1
30311,Secreto,"Anuel AA, KAROL G",El Salvador,2019-03,349977,2
30312,Calma - Remix,"Pedro Capó, Farruko",El Salvador,2019-03,311556,3
30313,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",El Salvador,2019-03,283758,4
30314,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",El Salvador,2019-03,253119,5
30315,Te Vi,"Piso 21, Micro TDH",El Salvador,2019-03,240456,6
30316,Adan y Eva,Paulo Londra,El Salvador,2019-03,212989,7
30317,Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",El Salvador,2019-03,205249,8
30318,Amanece,"Anuel AA, Haze",El Salvador,2019-03,203408,9
30319,HP,Maluma,El Salvador,2019-03,195192,10
30320,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",El Salvador,2019-11,368739,1
30321,LA CANCIÓN,"J Balvin, Bad Bunny",El Salvador,2019-11,347548,2
30322,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",El Salvador,2019-11,333508,3
30323,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",El Salvador,2019-11,320876,4
30324,Callaita,"Bad Bunny, Tainy",El Salvador,2019-11,301567,5
30325,Tusa,"KAROL G, Nicki Minaj",El Salvador,2019-11,297278,6
30326,Que Tire Pa Lante,Daddy Yankee,El Salvador,2019-11,296500,7
30327,Adicto (with Anuel AA & Ozuna),Tainy,El Salvador,2019-11,283676,8
30328,Fantasias,"Rauw Alejandro, Farruko",El Salvador,2019-11,261831,9
30329,Si Te Vas,"Sech, Ozuna",El Salvador,2019-11,217603,10
30330,Tusa,"KAROL G, Nicki Minaj",El Salvador,2020-01,918731,1
30331,Dance Monkey,Tones And I,El Salvador,2020-01,483769,2
30332,Vete,Bad Bunny,El Salvador,2020-01,431398,3
30333,Fantasias,"Rauw Alejandro, Farruko",El Salvador,2020-01,416940,4
30334,Sigues Con El,"Dímelo Flow, Arcangel, Sech",El Salvador,2020-01,404585,5
30335,LA CANCIÓN,"J Balvin, Bad Bunny",El Salvador,2020-01,345184,6
30336,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",El Salvador,2020-01,341556,7
30337,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",El Salvador,2020-01,333176,8
30338,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",El Salvador,2020-01,312035,9
30339,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",El Salvador,2020-01,300679,10
30340,Shape of You,Ed Sheeran,Estonia,2017-02,169173,1
30341,"""I Don’t Wanna Live Forever (Fifty Shades Darker) - From """"Fifty Shades Darker (Original Motion Picture Soundtrack)""""""","ZAYN, Taylor Swift",Estonia,2017-02,96573,2
30342,Scared to Be Lonely,"Martin Garrix, Dua Lipa",Estonia,2017-02,86956,3
30343,Paris,The Chainsmokers,Estonia,2017-02,81825,4
30344,Castle on the Hill,Ed Sheeran,Estonia,2017-02,71561,5
30345,Call On Me - Ryan Riback Extended Remix,Starley,Estonia,2017-02,62340,6
30346,Issues,Julia Michaels,Estonia,2017-02,50920,7
30347,Hear Me Now,"Alok, Bruno Martini, Zeeba",Estonia,2017-02,50796,8
30348,I Feel It Coming,"The Weeknd, Daft Punk",Estonia,2017-02,49668,9
30349,All Time Low,Jon Bellion,Estonia,2017-02,49099,10
30350,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Estonia,2017-05,102631,1
30351,HUMBLE.,Kendrick Lamar,Estonia,2017-05,75167,2
30352,Shape of You,Ed Sheeran,Estonia,2017-05,73807,3
30353,I'm the One,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",Estonia,2017-05,68880,4
30354,Symphony (feat. Zara Larsson),Clean Bandit,Estonia,2017-05,68848,5
30355,Despacito (Featuring Daddy Yankee),Luis Fonsi,Estonia,2017-05,63416,6
30356,Something Just Like This,"The Chainsmokers, Coldplay",Estonia,2017-05,62744,7
30357,Mask Off,Future,Estonia,2017-05,62371,8
30358,There's Nothing Holdin' Me Back,Shawn Mendes,Estonia,2017-05,62323,9
30359,It Ain't Me (with Selena Gomez),Kygo,Estonia,2017-05,61749,10
30360,Nevermind,Dennis Lloyd,Estonia,2018-06,84857,1
30361,One Kiss (with Dua Lipa),Calvin Harris,Estonia,2018-06,80215,2
30362,Solo (feat. Demi Lovato),Clean Bandit,Estonia,2018-06,77765,3
30363,Better Now,Post Malone,Estonia,2018-06,68879,4
30364,SAD!,XXXTENTACION,Estonia,2018-06,68717,5
30365,Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",Estonia,2018-06,65565,6
30366,Mina Ka,"nublu, Reket",Estonia,2018-06,64497,7
30367,Back To You,Selena Gomez,Estonia,2018-06,63231,8
30368,Lucid Dreams,Juice WRLD,Estonia,2018-06,59245,9
30369,Girls Like You (feat. Cardi B),Maroon 5,Estonia,2018-06,59229,10
30370,Mina Ka,"nublu, Reket",Estonia,2018-07,189530,1
30371,In My Feelings,Drake,Estonia,2018-07,95132,2
30372,Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",Estonia,2018-07,87777,3
30373,Solo (feat. Demi Lovato),Clean Bandit,Estonia,2018-07,80717,4
30374,Nevermind,Dennis Lloyd,Estonia,2018-07,76140,5
30375,Girls Like You (feat. Cardi B),Maroon 5,Estonia,2018-07,73639,6
30376,Lucid Dreams,Juice WRLD,Estonia,2018-07,73135,7
30377,SAD!,XXXTENTACION,Estonia,2018-07,70462,8
30378,Ocean (feat. Khalid),Martin Garrix,Estonia,2018-07,69580,9
30379,One Kiss (with Dua Lipa),Calvin Harris,Estonia,2018-07,63755,10
30380,tmt,nublu,Estonia,2019-01,76959,1
30381,Wow.,Post Malone,Estonia,2019-01,75094,2
30382,7 rings,Ariana Grande,Estonia,2019-01,74709,3
30383,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Estonia,2019-01,73187,4
30384,Without Me,Halsey,Estonia,2019-01,71522,5
30385,Shallow,"Lady Gaga, Bradley Cooper",Estonia,2019-01,63232,6
30386,High Hopes,Panic! At The Disco,Estonia,2019-01,59107,7
30387,Sweet but Psycho,Ava Max,Estonia,2019-01,57917,8
30388,"thank u, next",Ariana Grande,Estonia,2019-01,54893,9
30389,öölaps!,nublu,Estonia,2019-01,53332,10
30390,everything i wanted,Billie Eilish,Estonia,2019-12,129605,1
30391,Falling,Trevor Daniel,Estonia,2019-12,113609,2
30392,ROXANNE,Arizona Zervas,Estonia,2019-12,108027,3
30393,Dance Monkey,Tones And I,Estonia,2019-12,105577,4
30394,Blinding Lights,The Weeknd,Estonia,2019-12,102540,5
30395,für Oksana,"nublu, gameboy tetris",Estonia,2019-12,86780,6
30396,hot girl bummer,blackbear,Estonia,2019-12,82536,7
30397,Don't Start Now,Dua Lipa,Estonia,2019-12,82424,8
30398,Circles,Post Malone,Estonia,2019-12,81276,9
30399,All I Want for Christmas Is You,Mariah Carey,Estonia,2019-12,80721,10
30400,drivers license,Olivia Rodrigo,Estonia,2021-01,162491,1
30401,Universum,"nublu, Mikael Gabriel",Estonia,2021-01,132855,2
30402,Paraadna,"nublu, gameboy tetris, Raul Ojamaa",Estonia,2021-01,122635,3
30403,Tamburiin,"nublu, gameboy tetris, Buck Fuddi",Estonia,2021-01,94918,4
30404,HOLIDAY,Lil Nas X,Estonia,2021-01,82191,5
30405,The Business,Tiësto,Estonia,2021-01,77189,6
30406,WITHOUT YOU,The Kid LAROI,Estonia,2021-01,76916,7
30407,Mood (feat. iann dior),24kGoldn,Estonia,2021-01,74461,8
30408,Blinding Lights,The Weeknd,Estonia,2021-01,73329,9
30409,Cristal & МОЁТ,MORGENSHTERN,Estonia,2021-01,69798,10
30410,Shape of You,Ed Sheeran,Finland,2017-03,2469910,1
30411,Rahan takii,Antti Tuisku,Finland,2017-03,2469509,2
30412,Sitä säät mitä tilaat (feat. Ellinoora),JVG,Finland,2017-03,2110206,3
30413,Antaudun,Reino Nordin,Finland,2017-03,1952197,4
30414,It Ain't Me (with Selena Gomez),Kygo,Finland,2017-03,1946723,5
30415,Liikaa Sussa Kii,"Mikael Gabriel, Isac Elliot",Finland,2017-03,1679093,6
30416,Hulluuden Highway,Haloo Helsinki!,Finland,2017-03,1664510,7
30417,Tahdon rakastella sinua,SANNI,Finland,2017-03,1592725,8
30418,Something Just Like This,"The Chainsmokers, Coldplay",Finland,2017-03,1505125,9
30419,You Don't Know Me - Radio Edit,"Jax Jones, RAYE",Finland,2017-03,1403208,10
30420,Antaudun,Reino Nordin,Finland,2017-04,2058245,1
30421,Symphony (feat. Zara Larsson),Clean Bandit,Finland,2017-04,1870951,2
30422,Hula Hula,"Robin, Nelli Matula",Finland,2017-04,1758028,3
30423,Shape of You,Ed Sheeran,Finland,2017-04,1754551,4
30424,Rahan takii,Antti Tuisku,Finland,2017-04,1692040,5
30425,Mä En Kestä,Laura Voutilainen,Finland,2017-04,1492207,6
30426,Mask Off,Future,Finland,2017-04,1405506,7
30427,Sitä säät mitä tilaat (feat. Ellinoora),JVG,Finland,2017-04,1364191,8
30428,It Ain't Me (with Selena Gomez),Kygo,Finland,2017-04,1353537,9
30429,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Finland,2017-04,1352127,10
30430,Jättiläinen,"Pyhimys, Aksel Kankaanranta",Finland,2018-02,1521439,1
30431,Popkorni,JVG,Finland,2018-02,1474034,2
30432,TEXAS (feat. JVG),Haloo Helsinki!,Finland,2018-02,1359529,3
30433,Solmussa (feat. BEHM),Pikku G,Finland,2018-02,1354090,4
30434,Sick Boy,The Chainsmokers,Finland,2018-02,1310867,5
30435,God's Plan,Drake,Finland,2018-02,1267104,6
30436,Vedän sut henkeen,Antti Tuisku,Finland,2018-02,1216152,7
30437,Monaco,Aste,Finland,2018-02,1169283,8
30438,River (feat. Ed Sheeran),Eminem,Finland,2018-02,1049567,9
30439,Väärään suuntaan,Jenni Vartiainen,Finland,2018-02,1034341,10
30440,Ikuinen vappu,JVG,Finland,2019-02,1933148,1
30441,7 rings,Ariana Grande,Finland,2019-02,1815548,2
30442,bury a friend,Billie Eilish,Finland,2019-02,1292876,3
30443,"I'll Be With You (with Kovee, Joznez)",Robin Packalen,Finland,2019-02,1292650,4
30444,Muijii stadis,Gettomasa,Finland,2019-02,1285099,5
30445,Harmaa Rinne,Teflon Brothers,Finland,2019-02,1200027,6
30446,"break up with your girlfriend, i'm bored",Ariana Grande,Finland,2019-02,1115796,7
30447,Sinä 4ever,Ellinoora,Finland,2019-02,1100423,8
30448,Wow.,Post Malone,Finland,2019-02,1062300,9
30449,Vuosien päästä (feat. Etta),STEREO,Finland,2019-02,1052880,10
30450,Señorita,"Shawn Mendes, Camila Cabello",Finland,2019-07,2748989,1
30451,Beautiful People (feat. Khalid),Ed Sheeran,Finland,2019-07,1527218,2
30452,Frisbee,JVG,Finland,2019-07,1398243,3
30453,Pommi (pampampam),SANNI,Finland,2019-07,1308232,4
30454,Ikuinen vappu,JVG,Finland,2019-07,1292033,5
30455,Lokin päällä lokki,Apulanta,Finland,2019-07,1240043,6
30456,Silmät,Gettomasa,Finland,2019-07,1173428,7
30457,Goodbyes (Feat. Young Thug),Post Malone,Finland,2019-07,1154363,8
30458,I Don't Care (with Justin Bieber),Ed Sheeran,Finland,2019-07,1145603,9
30459,bad guy,Billie Eilish,Finland,2019-07,1118783,10
30460,Blinding Lights,The Weeknd,Finland,2020-04,1751552,1
30461,Tivolit,BEHM,Finland,2020-04,1250890,2
30462,Roses - Imanbek Remix,SAINt JHN,Finland,2020-04,1199178,3
30463,Boss Bitch,Doja Cat,Finland,2020-04,1076726,4
30464,Epäröimättä hetkeekään,"Elastinen, Jenni Vartiainen",Finland,2020-04,1076569,5
30465,"Parempi yksin - Recorded At Spotify Studios, Stockholm",Pyhimys,Finland,2020-04,1066960,6
30466,Tässäkö tää oli? (feat. Leavings-Orkesteri),Arttu Wiskari,Finland,2020-04,1027278,7
30467,Toosie Slide,Drake,Finland,2020-04,1015908,8
30468,Tuhansien Lärvien Maa,Petri Nygård,Finland,2020-04,937134,9
30469,Hei rakas,BEHM,Finland,2020-04,928265,10
30470,Dark Side,Blind Channel,Finland,2021-05,2182524,1
30471,ZITTI E BUONI,Måneskin,Finland,2021-05,1689892,2
30472,MONTERO (Call Me By Your Name),Lil Nas X,Finland,2021-05,1273679,3
30473,Piilotan mun kyyneleet,Haloo Helsinki!,Finland,2021-05,1060671,4
30474,Kiss Me More (feat. SZA),Doja Cat,Finland,2021-05,1019544,5
30475,Pettäjä,SANNI,Finland,2021-05,987722,6
30476,Life (Sun luo),"Cledos, BEHM",Finland,2021-05,925008,7
30477,I WANNA BE YOUR SLAVE,Måneskin,Finland,2021-05,909274,8
30478,Astronaut In The Ocean,Masked Wolf,Finland,2021-05,909267,9
30479,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Finland,2021-05,826887,10
30480,Samma gamla vanliga - Remix,"Cledos, ibe, Averagekidluke, A36",Finland,2021-10,1794893,1
30481,Shivers,Ed Sheeran,Finland,2021-10,1266233,2
30482,Vauhti kiihtyy (feat. Matti ja Teppo),Portion Boys,Finland,2021-10,1113222,3
30483,STAY (with Justin Bieber),The Kid LAROI,Finland,2021-10,1108766,4
30484,Huuliharppu (Antonio) [Vain elämää kausi 12],ABREU,Finland,2021-10,1036229,5
30485,Bad Habits,Ed Sheeran,Finland,2021-10,1019028,6
30486,Heat Waves,Glass Animals,Finland,2021-10,969291,7
30487,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Finland,2021-10,949415,8
30488,edamame (feat. Rich Brian),bbno$,Finland,2021-10,905033,9
30489,Matkustaja (feat. Aksel Kankaanranta),AHTI,Finland,2021-10,871370,10
30490,Shape of You,Ed Sheeran,France,2017-01,4333814,1
30491,Afro Trap Pt. 7 (La puissance),MHD,France,2017-01,2881232,2
30492,Tchoin,Kaaris,France,2017-01,2857085,3
30493,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,France,2017-01,2837262,4
30494,Mauvaise graine,Nekfeu,France,2017-01,2772654,5
30495,Squa,Nekfeu,France,2017-01,2474091,6
30496,Starboy,"The Weeknd, Daft Punk",France,2017-01,2448545,7
30497,Sunset Lover,Petit Biscuit,France,2017-01,2380406,8
30498,Human,Rag'n'Bone Man,France,2017-01,2362819,9
30499,I Feel It Coming,"The Weeknd, Daft Punk",France,2017-01,2270484,10
30500,Shape of You,Ed Sheeran,France,2017-02,6010078,1
30501,"""I Don’t Wanna Live Forever (Fifty Shades Darker) - From """"Fifty Shades Darker (Original Motion Picture Soundtrack)""""""","ZAYN, Taylor Swift",France,2017-02,3020302,2
30502,Tout l'monde s'en fout,Sofiane,France,2017-02,2972748,3
30503,Je m'en vais,Vianney,France,2017-02,2953039,4
30504,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,France,2017-02,2828285,5
30505,Traîtres,Lacrim,France,2017-02,2801823,6
30506,Tchoin,Kaaris,France,2017-02,2782834,7
30507,Sunset Lover,Petit Biscuit,France,2017-02,2633948,8
30508,Afro Trap Pt. 7 (La puissance),MHD,France,2017-02,2605154,9
30509,Human,Rag'n'Bone Man,France,2017-02,2502758,10
30510,Ipséité,Damso,France,2018-05,5823897,1
30511,Mafiosa (feat. Caroliina),Lartiste,France,2018-05,5541087,2
30512,Djadja,Aya Nakamura,France,2018-05,5477879,3
30513,"""Va Bene - Extrait de la BOF de """"Taxi 5""""""",L'Algérino,France,2018-05,4786057,4
30514,X,"Nicky Jam, J Balvin",France,2018-05,4489795,5
30515,La même,"GIMS, Vianney",France,2018-05,4482945,6
30516,One Kiss (with Dua Lipa),Calvin Harris,France,2018-05,4291841,7
30517,Habitué,Dosseh,France,2018-05,4283358,8
30518,Un Poco,Ninho,France,2018-05,3972928,9
30519,Désaccordé,Vald,France,2018-05,3864163,10
30520,Khapta,"Heuss L'enfoiré, Sofiane",France,2019-02,9642123,1
